# STATION: G3425
# STATION NAME: GW3425 SAN MARCOS
# LATITUDE: 29.89283
# LONGITUDE: -97.93133
# ELEVATION [ft]: 603.0
# STATE: TX
Station_ID, Date_Time, altimeter_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,solar_radiation_set_1,precip_accum_24_hour_set_1,precip_accum_since_local_midnight_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d,pressure_set_1d,sea_level_pressure_set_1d
,,INHG,Fahrenheit,%,Miles/hour,Degrees,Miles/hour,W/m**2,Inches,Inches,Fahrenheit,code,Fahrenheit,Fahrenheit,INHG,INHG
G3425,05/03/2023 13:37 CDT,,81.0,63.0,2.0,90.0,4.0,,0.0,0.0,,E,83.5,67.21,,None
G3425,05/03/2023 13:47 CDT,,81.0,61.0,1.0,68.0,3.0,,0.0,0.0,,ENE,83.21,66.28,,None
G3425,05/03/2023 14:07 CDT,,82.0,58.0,5.99,135.0,7.0,,0.0,0.0,,SE,84.07,65.77,,None
G3425,05/03/2023 14:47 CDT,,82.0,53.0,4.0,203.0,5.0,,0.0,0.0,,SSW,83.23,63.19,,None
G3425,05/03/2023 15:07 CDT,,83.0,44.0,3.0,135.0,5.0,,0.0,0.0,,SE,82.91,58.86,,None
G3425,05/03/2023 16:17 CDT,29.89,84.0,44.0,2.0,90.0,4.0,,0.0,0.0,,E,83.96,59.77,29.24,29.86
G3425,05/03/2023 16:47 CDT,29.89,84.0,44.0,4.0,135.0,5.99,,0.0,0.0,,SE,83.96,59.77,29.24,29.86
G3425,05/03/2023 16:57 CDT,,84.0,47.0,4.0,90.0,7.0,,0.0,0.0,,E,84.52,61.63,,None
G3425,05/03/2023 17:27 CDT,,84.0,43.0,2.0,45.0,3.0,,0.0,0.0,,NE,83.78,59.13,,None
G3425,05/03/2023 17:47 CDT,,83.0,51.0,3.0,180.0,5.99,,0.0,0.0,,S,84.08,63.02,,None
G3425,05/03/2023 18:27 CDT,,82.0,45.0,3.0,90.0,5.99,,0.0,0.0,,E,82.07,58.57,,None
G3425,05/03/2023 18:37 CDT,,82.0,46.0,2.0,90.0,4.0,,0.0,0.0,,E,82.2,59.19,,None
G3425,05/03/2023 19:07 CDT,29.9,80.0,46.0,3.0,68.0,4.0,,0.0,0.0,,ENE,,57.36,29.25,29.87
G3425,05/03/2023 19:17 CDT,29.9,80.0,47.0,1.0,135.0,2.0,,0.0,0.0,,SE,,57.95,29.25,29.87
G3425,05/03/2023 19:27 CDT,,79.0,46.0,3.0,135.0,5.99,,0.0,0.0,,SE,,56.44,,None
G3425,05/03/2023 19:37 CDT,,79.0,46.0,1.0,113.0,2.0,,0.0,0.0,,ESE,,56.44,,None
G3425,05/03/2023 19:47 CDT,,78.0,48.0,1.0,113.0,3.0,,0.0,0.0,,ESE,,56.7,,None
G3425,05/03/2023 19:57 CDT,,78.0,49.0,2.0,113.0,4.0,,0.0,0.0,,ESE,,57.27,,None
G3425,05/03/2023 22:57 CDT,29.95,71.0,78.0,1.0,203.0,2.0,,0.0,0.0,,SSW,,63.76,29.3,29.93
G3425,05/03/2023 23:47 CDT,29.95,70.0,83.0,1.0,113.0,3.0,,0.0,0.0,,ESE,,64.57,29.3,29.93
G3425,05/04/2023 02:37 CDT,29.91,67.0,92.0,1.0,203.0,2.0,,0.0,0.0,,SSW,,64.58,29.26,29.9
G3425,05/04/2023 05:37 CDT,29.91,68.0,93.0,1.0,180.0,2.0,,0.0,0.0,,S,,65.89,29.26,29.9
G3425,05/04/2023 05:47 CDT,29.91,68.0,93.0,1.0,248.0,2.0,,0.0,0.0,,WSW,,65.89,29.26,29.9
G3425,05/04/2023 05:57 CDT,29.91,69.0,93.0,1.0,225.0,2.0,,0.0,0.0,,SW,,66.88,29.26,29.89
G3425,05/04/2023 06:17 CDT,29.91,69.0,94.0,1.0,113.0,2.0,,0.0,0.0,,ESE,,67.19,29.26,29.89
G3425,05/04/2023 06:27 CDT,29.91,69.0,94.0,1.0,135.0,1.0,,0.0,0.0,,SE,,67.19,29.26,29.89
G3425,05/04/2023 06:47 CDT,29.92,69.0,93.0,2.0,135.0,4.0,,0.0,0.0,,SE,,66.88,29.27,29.9
G3425,05/04/2023 07:07 CDT,29.93,69.0,93.0,1.0,90.0,2.0,,0.0,0.0,,E,,66.88,29.28,29.91
G3425,05/04/2023 07:17 CDT,29.93,68.0,93.0,2.0,90.0,3.0,,0.0,0.0,,E,,65.89,29.28,29.92
G3425,05/04/2023 07:27 CDT,29.93,68.0,94.0,1.0,90.0,3.0,,0.0,0.0,,E,,66.2,29.28,29.92
G3425,05/04/2023 07:37 CDT,29.93,68.0,94.0,2.0,90.0,3.0,,0.0,0.0,,E,,66.2,29.28,29.92
G3425,05/04/2023 09:07 CDT,29.96,69.0,94.0,2.0,90.0,3.0,,0.0,0.0,,E,,67.19,29.31,29.94
G3425,05/04/2023 09:27 CDT,29.96,70.0,95.0,1.0,158.0,3.0,,0.0,0.0,,SSE,,68.49,29.31,29.94
G3425,05/04/2023 09:37 CDT,29.96,70.0,95.0,1.0,135.0,2.0,,0.0,0.0,,SE,,68.49,29.31,29.94
G3425,05/04/2023 10:17 CDT,29.96,71.0,94.0,2.0,158.0,2.0,,0.0,0.0,,SSE,,69.18,29.31,29.94
G3425,05/04/2023 10:37 CDT,29.97,72.0,91.0,1.0,225.0,1.0,,0.0,0.0,,SW,,69.22,29.32,29.95
G3425,05/04/2023 10:47 CDT,29.96,73.0,90.0,2.0,135.0,3.0,,0.0,0.0,,SE,,69.88,29.31,29.94
G3425,05/04/2023 10:57 CDT,29.97,73.0,90.0,3.0,90.0,5.0,,0.0,0.0,,E,,69.88,29.32,29.95
G3425,05/04/2023 11:07 CDT,29.96,74.0,88.0,3.0,135.0,4.0,,0.0,0.0,,SE,,70.2,29.31,29.94
G3425,05/04/2023 11:17 CDT,29.96,74.0,87.0,4.0,135.0,5.0,,0.0,0.0,,SE,,69.87,29.31,29.94
G3425,05/04/2023 11:37 CDT,29.97,74.0,87.0,1.0,203.0,2.0,,0.0,0.0,,SSW,,69.87,29.32,29.95
G3425,05/04/2023 11:47 CDT,29.97,74.0,87.0,1.0,203.0,3.0,,0.0,0.0,,SSW,,69.87,29.32,29.95
G3425,05/04/2023 11:57 CDT,29.98,74.0,87.0,1.0,135.0,1.0,,0.0,0.0,,SE,,69.87,29.33,29.96
G3425,05/04/2023 12:07 CDT,29.98,74.0,87.0,3.0,135.0,5.99,,0.0,0.0,,SE,,69.87,29.33,29.96
G3425,05/04/2023 12:27 CDT,29.98,74.0,89.0,2.0,135.0,3.0,,0.0,0.0,,SE,,70.54,29.33,29.96
G3425,05/04/2023 12:47 CDT,29.97,74.0,88.0,3.0,90.0,5.99,,0.0,0.0,,E,,70.2,29.32,29.95
G3425,05/04/2023 13:27 CDT,29.96,75.0,88.0,1.0,225.0,2.0,,0.0,0.0,,SW,,71.19,29.31,29.94
G3425,05/04/2023 14:07 CDT,29.95,76.0,87.0,2.0,113.0,3.0,,0.0,0.0,,ESE,,71.84,29.3,29.93
G3425,05/04/2023 14:17 CDT,29.94,76.0,86.0,1.0,68.0,1.0,,0.0,0.0,,ENE,,71.5,29.29,29.92
G3425,05/04/2023 14:47 CDT,29.93,79.0,81.0,2.0,135.0,3.0,,0.0,0.0,,SE,,72.66,29.28,29.9
G3425,05/04/2023 15:07 CDT,29.92,81.0,77.0,1.0,270.0,2.0,,0.0,0.0,,W,85.86,73.1,29.27,29.89
G3425,05/04/2023 15:17 CDT,29.92,83.0,73.0,1.0,225.0,7.0,,0.0,0.0,,SW,89.21,73.45,29.27,29.89
G3425,05/04/2023 15:37 CDT,29.9,82.0,74.0,3.0,68.0,3.0,,0.0,0.0,,ENE,87.34,72.89,29.25,29.87
G3425,05/04/2023 15:47 CDT,29.9,81.0,74.0,3.0,203.0,4.0,,0.0,0.0,,SSW,85.32,71.92,29.25,29.87
G3425,05/04/2023 16:27 CDT,29.87,82.0,77.0,1.0,68.0,2.0,,0.0,0.0,,ENE,88.05,74.07,29.22,29.84
G3425,05/04/2023 16:47 CDT,29.85,83.0,74.0,1.0,270.0,2.0,,0.0,0.0,,W,89.5,73.86,29.2,29.82
G3425,05/04/2023 17:17 CDT,29.83,84.0,71.0,3.0,135.0,8.0,,0.0,0.0,,SE,90.8,73.59,29.19,29.8
G3425,05/04/2023 17:27 CDT,29.83,83.0,70.0,3.0,135.0,7.0,,0.0,0.0,,SE,88.39,72.21,29.19,29.8
G3425,05/04/2023 18:07 CDT,29.83,82.0,73.0,3.0,135.0,5.99,,0.0,0.0,,SE,87.11,72.49,29.19,29.8
G3425,05/04/2023 18:37 CDT,29.85,82.0,73.0,1.0,248.0,3.0,,0.0,0.0,,WSW,87.11,72.49,29.2,29.82
G3425,05/04/2023 18:47 CDT,29.85,82.0,73.0,1.0,293.0,3.0,,0.0,0.0,,WNW,87.11,72.49,29.2,29.82
G3425,05/04/2023 18:57 CDT,29.85,82.0,74.0,1.0,203.0,2.0,,0.0,0.0,,SSW,87.34,72.89,29.2,29.82
G3425,05/04/2023 20:27 CDT,29.85,79.0,80.0,1.0,135.0,3.0,,0.0,0.0,,SE,,72.29,29.2,29.82
G3425,05/04/2023 20:47 CDT,29.85,79.0,82.0,2.0,158.0,4.0,,0.0,0.0,,SSE,,73.02,29.2,29.82
G3425,05/04/2023 20:57 CDT,29.85,78.0,82.0,3.0,203.0,5.99,,0.0,0.0,,SSW,,72.05,29.2,29.82
G3425,05/04/2023 21:07 CDT,29.85,78.0,83.0,4.0,135.0,7.0,,0.0,0.0,,SE,,72.41,29.2,29.82
G3425,05/04/2023 21:17 CDT,29.85,78.0,83.0,1.0,203.0,3.0,,0.0,0.0,,SSW,,72.41,29.2,29.82
G3425,05/04/2023 21:27 CDT,29.86,77.0,84.0,2.0,113.0,3.0,,0.0,0.0,,ESE,,71.78,29.21,29.84
G3425,05/04/2023 21:37 CDT,29.85,77.0,84.0,1.0,158.0,3.0,,0.0,0.0,,SSE,,71.78,29.2,29.83
G3425,05/04/2023 21:47 CDT,29.86,77.0,85.0,2.0,180.0,3.0,,0.0,0.0,,S,,72.13,29.21,29.84
G3425,05/04/2023 22:07 CDT,29.85,77.0,85.0,2.0,203.0,5.0,,0.0,0.0,,SSW,,72.13,29.2,29.83
G3425,05/04/2023 22:17 CDT,29.86,77.0,85.0,2.0,158.0,4.0,,0.0,0.0,,SSE,,72.13,29.21,29.84
G3425,05/04/2023 22:37 CDT,29.88,77.0,86.0,1.0,203.0,2.0,,0.0,0.0,,SSW,,72.48,29.23,29.86
G3425,05/04/2023 22:47 CDT,29.88,76.0,86.0,1.0,180.0,2.0,,0.0,0.0,,S,,71.5,29.23,29.86
G3425,05/04/2023 23:07 CDT,29.88,76.0,87.0,1.0,135.0,2.0,,0.0,0.0,,SE,,71.84,29.23,29.86
G3425,05/04/2023 23:17 CDT,29.88,76.0,87.0,5.0,113.0,8.0,,0.0,0.0,,ESE,,71.84,29.23,29.86
G3425,05/04/2023 23:27 CDT,29.88,76.0,88.0,1.0,113.0,2.0,,0.0,0.0,,ESE,,72.18,29.23,29.86
G3425,05/04/2023 23:37 CDT,29.89,76.0,88.0,2.0,180.0,3.0,,0.0,0.0,,S,,72.18,29.24,29.87
G3425,05/04/2023 23:47 CDT,29.9,76.0,88.0,4.0,225.0,7.0,,0.0,0.0,,SW,,72.18,29.25,29.88
G3425,05/05/2023 00:07 CDT,29.91,75.0,88.0,1.0,180.0,2.0,,0.0,0.0,,S,,71.19,29.26,29.89
G3425,05/05/2023 00:27 CDT,29.92,75.0,89.0,2.0,225.0,3.0,,0.0,0.0,,SW,,71.52,29.27,29.9
G3425,05/05/2023 00:57 CDT,29.91,75.0,87.0,2.0,68.0,5.0,,0.0,0.0,,ENE,,70.85,29.26,29.89
G3425,05/05/2023 02:07 CDT,29.9,75.0,88.0,1.0,203.0,2.0,,0.0,0.0,,SSW,,71.19,29.25,29.88
G3425,05/05/2023 02:47 CDT,29.88,75.0,88.0,2.0,158.0,2.0,,0.0,0.0,,SSE,,71.19,29.23,29.86
G3425,05/05/2023 03:17 CDT,29.87,75.0,89.0,1.0,135.0,3.0,,0.0,0.0,,SE,,71.52,29.22,29.85
G3425,05/05/2023 03:27 CDT,29.87,75.0,89.0,1.0,135.0,2.0,,0.0,0.0,,SE,,71.52,29.22,29.85
G3425,05/05/2023 04:57 CDT,29.85,73.0,92.0,1.0,158.0,2.0,,0.0,0.0,,SSE,,70.53,29.2,29.83
G3425,05/05/2023 05:27 CDT,29.87,73.0,92.0,1.0,90.0,2.0,,0.0,0.0,,E,,70.53,29.22,29.85
G3425,05/05/2023 06:07 CDT,29.88,73.0,92.0,1.0,180.0,2.0,,0.0,0.0,,S,,70.53,29.23,29.86
G3425,05/05/2023 07:17 CDT,29.92,73.0,93.0,2.0,225.0,3.0,,0.0,0.0,,SW,,70.85,29.27,29.9
G3425,05/05/2023 07:27 CDT,29.92,73.0,93.0,1.0,113.0,2.0,,0.0,0.0,,ESE,,70.85,29.27,29.9
G3425,05/05/2023 07:47 CDT,29.93,74.0,92.0,1.0,180.0,2.0,,0.0,0.0,,S,,71.52,29.28,29.91
G3425,05/05/2023 08:27 CDT,29.93,75.0,92.0,2.0,113.0,3.0,,0.0,0.0,,ESE,,72.51,29.28,29.91
G3425,05/05/2023 08:47 CDT,29.94,75.0,91.0,2.0,225.0,3.0,,0.0,0.0,,SW,,72.18,29.29,29.92
G3425,05/05/2023 08:57 CDT,29.94,76.0,91.0,1.0,225.0,2.0,,0.0,0.0,,SW,,73.17,29.29,29.92
